iter	Passed	Remaining
0	0	58
1	1	52
2	1	53
3	2	49
4	2	48
5	3	47
6	3	47
7	4	46
8	4	45
9	4	44
10	5	43
11	5	43
12	6	42
13	6	42
14	7	41
15	7	41
16	8	40
17	8	40
18	9	39
19	9	39
20	10	38
21	10	38
22	11	37
23	11	36
24	12	36
25	12	35
26	13	35
27	13	34
28	13	34
29	14	33
30	14	33
31	15	32
32	15	32
33	16	32
34	16	31
35	17	31
36	17	30
37	18	30
38	18	29
39	19	29
40	20	28
41	20	27
42	20	27
43	21	26
44	21	26
45	22	25
46	22	25
47	23	24
48	23	24
49	23	23
50	24	23
51	24	22
52	25	22
53	25	21
54	26	21
55	26	20
56	27	20
57	27	19
58	28	19
59	28	19
60	29	18
61	29	18
62	30	17
63	30	17
64	31	16
65	31	16
66	32	15
67	32	15
68	33	14
69	33	14
70	34	13
71	34	13
72	35	13
73	35	12
74	36	12
75	36	11
76	37	11
77	37	10
78	38	10
79	38	9
80	39	9
81	39	8
82	39	8
83	40	7
84	40	7
85	41	6
86	41	6
87	42	5
88	42	5
89	43	4
90	43	4
91	44	3
92	44	3
93	45	2
94	45	2
95	46	1
96	46	1
97	47	0
98	47	0
99	48	0
